regime,regime_label,library,transform,status,reason,source_files
rgb_dataloader_gpu,GPU DataLoader,kornia,RandomCrop224+GaussianIllumination+Normalize+ToTensor,unsupported,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/published/paper-rgb-dataloader-gpu-memory-g2-standard-16-2026-05-07/kornia_memory_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_micro_cpu,CPU micro,kornia,Elastic,early_stopped,Elastic slower than threshold: 0.268 sec/image >= 0.050,results/published/paper-rgb-micro-c4-standard-16-2026-05-04/kornia_micro_results.json
rgb_micro_cpu,CPU micro,kornia,MedianBlur,early_stopped,MedianBlur slower than threshold: 0.398 sec/image >= 0.050,results/published/paper-rgb-micro-c4-standard-16-2026-05-04/kornia_micro_results.json
rgb_micro_cpu,CPU micro,kornia,PlasmaBrightness,early_stopped,PlasmaBrightness slower than threshold: 0.065 sec/image >= 0.050,results/published/paper-rgb-micro-c4-standard-16-2026-05-04/kornia_micro_results.json
rgb_micro_cpu,CPU micro,kornia,PlasmaContrast,early_stopped,PlasmaContrast slower than threshold: 0.063 sec/image >= 0.050,results/published/paper-rgb-micro-c4-standard-16-2026-05-04/kornia_micro_results.json
rgb_micro_cpu,CPU micro,pillow,MedianBlur,early_stopped,MedianBlur slower than threshold: 0.167 sec/image >= 0.050,results/published/paper-rgb-micro-c4-standard-16-2026-05-04/pillow_micro_results.json
rgb_micro_cpu,CPU micro,torchvision,Elastic,early_stopped,Elastic slower than threshold: 0.122 sec/image >= 0.050,results/published/paper-rgb-micro-c4-standard-16-2026-05-04/torchvision_micro_results.json
rgb_micro_gpu,GPU micro,kornia,Affine,unsupported,"ValueError: Inputs must have same device Got center (cuda:0, torch.float32), angle (cpu, torch.float32) and scale (cpu, torch.float32)",results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,kornia,CornerIllumination,unsupported,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,kornia,Erasing,unsupported,"NotImplementedError: ""check_uniform_bounds"" not implemented for 'Long'",results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,kornia,LinearIllumination,unsupported,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,kornia,Perspective,unsupported,"NotImplementedError: ""check_uniform_bounds"" not implemented for 'Long'",results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,kornia,PlasmaBrightness,early_stopped,PlasmaBrightness slower than threshold: 0.156 sec/image >= 0.050,results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,kornia,PlasmaContrast,early_stopped,PlasmaContrast slower than threshold: 0.146 sec/image >= 0.050,results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,kornia,PlasmaShadow,early_stopped,PlasmaShadow slower than threshold: 0.146 sec/image >= 0.050,results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/kornia_micro_dev-cuda_results.json
rgb_micro_gpu,GPU micro,torchvision,Elastic,early_stopped,Elastic slower than threshold: 0.181 sec/image >= 0.050,results/published/paper-rgb-micro-gpu-g2-standard-16-2026-05-04/torchvision_micro_dev-cuda_results.json
